Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,MyPicker2[1],MyPicker2[1],1.OnCapacityAllocated,[End],Process 'MyPicker2[1].OnCapacityAllocated' execution ended.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Seize] Vehicle,Object 'MyPicker2[1]' completed seize of '1' resource(s) of resource type '[ParentObject] MyPicker2[1]'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[SetNode] ToFirstDestination,Destination node of entity 'MyPicker2[1]' set to value 'MyPickNode23'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '0'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '0'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyPicker2[1].HomeNode' the value 'Home'. Previous value was 'Nothing'.
0,MyPicker2[1],MyPicker2[1],0.OnCreated,[End],Process 'MyPicker2[1].OnCreated' execution ended.
0,--,--,--,--,Created object 'MyTransporter3[1]'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Begin],Process 'MyTransporter3[1].OnCreated' execution started.
0,--,--,--,--,Ignoring attempt to execute disabled process 'MyTransporter3[1].OnNewSeizeRequest'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter3[1]' checking availability to seize '1' resource(s) of resource type '[ParentObject] MyTransporter3[1]'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter3[1]' checking availability to seize '1' capacity unit(s) of resource 'MyTransporter3[1]’.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter3[1]' found '1' currently available resource(s) of resource type '[ParentObject] MyTransporter3[1]'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter3[1]' seized '1' capacity unit(s) of resource 'MyTransporter3[1]'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Begin],Process 'MyTransporter3[1].OnCapacityAllocated' execution started.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] ResourceState,Assigning state variable 'MyTransporter3[1].ResourceState' the value '7'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '1'.
